carta_id,nro_carta,titulo,tipo_marca,frecuencia
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",add,4
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",del,5
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",gap,1
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",subst,3
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",superindice,101
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",gap,1
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",superindice,48
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",add,1
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",del,2
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",gap,3
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",subst,1
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",superindice,56
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",add,3
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",del,8
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",gap,3
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",subst,3
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",superindice,73
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",add,11
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",del,22
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",gap,1
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",subst,10
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",superindice,57
"06_5318583_box1_f6_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8",6,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8/10/1762)",superindice,107
"07_5318583_box1_f7_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",7,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (8/13/1762)",superindice,26
"08_5318583_box1_f7b_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",8,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (8/13/1762)",superindice,17
"09_5318583_box1_f8_Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa",9,"Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa Carrillo de Albornoz (8/13/1762)",superindice,33
"10_5318583_box1_f8b_Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa",10,"Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa Carrillo de Albornoz (8/13/1762)",superindice,29
"11_5318583_box1_f9_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12",11,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12/14/1762)",superindice,28
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",superindice,188
"13_5318583_box1_f11_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara, (8",13,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara, (8/23/1763)",superindice,101
"14_5318583_box1_f12_Letter from Diego José, Fifth Count of Montemar to Christobal Mesia y",14,"Letter from Diego José, Fifth Count of Montemar to Christobal Mesia y Munive, Count of Sierrabella (8/23/1763)",superindice,22
"15_5318583_box1_f13_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12",15,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12/6/1763)",superindice,68
