carta_id,nro_carta,titulo,pagina,tipo_marca,subtipo,texto,texto_del,texto_add,posicion_add
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",2,subst,place_above,todo lo posible -> a firmar una,todo lo posible,a firmar una,place_above
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",3,subst,place_above,ydo alo del -> subido al,ydo alo del,subido al,place_above
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",4,subst,place_above,y sola esta cualidad -> es la que,y sola esta cualidad,es la que,place_above
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",6,subst,place_above,un poco -> el cuerpo con,un poco,el cuerpo con,place_above
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",6,subst,place_above,la casa -> nuestra,la casa,nuestra,place_above
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",9,subst,place_above,enterara -> satisfará,enterara,satisfará,place_above
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",10,subst,place_above,me ha parecido -> fuera,me ha parecido,fuera,place_above
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",3,subst,place_above,imponer -> subrrogar,imponer,subrrogar,place_above
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",4,subst,place_above,pidiendose -> si se pidiese,pidiendose,si se pidiese,place_above
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",5,subst,place_above,riesgo -> continjensia como he dho,riesgo,continjensia como he dho,place_above
20_5318583_box1_f18_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,20,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (1/3/1765)",3,subst,place_above,dictamen -> consejo,dictamen,consejo,place_above
"21_5318583_box1_f19_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",21,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/23/1765)",15,subst,place_above,en ellos -> menos,en ellos,menos,place_above
