carta_id,nro_carta,titulo,pagina,tipo_marca,subtipo,texto,texto_del,texto_add,posicion_add
20_5318583_box1_f18_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,20,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (1/3/1765)",6,del,,quedo,quedo,,
"21_5318583_box1_f19_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",21,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/23/1765)",2,del,,Novecientos,Novecientos,,
"21_5318583_box1_f19_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",21,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/23/1765)",15,del,,en ellos,en ellos,,
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",5,del,,pʳ haverse agregado a dha cantidad,pʳ haverse agregado a dha cantidad,,
24_5318583_box1_f22_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,24,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (3/30/1765)",3,del,,te,te,,
24_5318583_box1_f22_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,24,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (3/30/1765)",5,del,,satisfa,satisfa,,
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",5,del,,quiera,quiera,,
"30_5318583_box1_f28_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",30,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (11/23/1765)",4,del,,y,y,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",1,del,,contextarte,contextarte,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",1,del,,decirte,decirte,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",2,del,,escasa,escasa,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",2,del,,desmedido,desmedido,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",3,del,,"sin esta claridad tomando tú la parte de que nuestro Padre no hubiera

podido","sin esta claridad tomando tú la parte de que nuestro Padre no hubiera

podido",,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",3,del,,por si solo de sus rentas,por si solo de sus rentas,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",3,del,,sacando de esto la consecuencia de que no podia tener lo bastante,sacando de esto la consecuencia de que no podia tener lo bastante,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",3,del,,cuantas por la primera lade su mui,cuantas por la primera lade su mui,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",3,del,,y que para esta tubiese ôno fondos,y que para esta tubiese ôno fondos,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",5,del,,cargas y,cargas y,,
"31_5318583_box1_f29_Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de A",31,"Letter from Diego José, Fifth Count of Montemar to Pedro Carrillo de Albornoz y Bravo de Lagunas (12/3/1765)",7,del,,que,que,,
"32_5318583_box1_f30_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",32,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (12/3/1765)",2,del,,de,de,,
"32_5318583_box1_f30_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",32,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (12/3/1765)",7,del,,"A Mesia le escribo sobre esto propio, qᵉ able con vd, y asi mismo sobre las temeridades qᵉ dimanan contra mi, dela disposision testamentaria de mi tia ,

incluyéndole documᵗᵒˢ bastantes â desbaneser los cargos,

sobre cuyo asumpto si vd gusta tener la bondad de influir â qᵉ se hallanen â un compromiso y ser con Mesia

asosiado â mi fabor, para una recta y juiciosa desision; yo me conformare en

todo qᵗᵒ vd estimen ser digno de mi prudensia, sin pasar

al sacrifisio qᵉ asta aqui he sufrido pᵃ mi total perdision","A Mesia le escribo sobre esto propio, qᵉ able con vd, y asi mismo sobre las temeridades qᵉ dimanan contra mi, dela disposision testamentaria de mi tia ,

incluyéndole documᵗᵒˢ bastantes â desbaneser los cargos,

sobre cuyo asumpto si vd gusta tener la bondad de influir â qᵉ se hallanen â un compromiso y ser con Mesia

asosiado â mi fabor, para una recta y juiciosa desision; yo me conformare en

todo qᵗᵒ vd estimen ser digno de mi prudensia, sin pasar

al sacrifisio qᵉ asta aqui he sufrido pᵃ mi total perdision",,
"32_5318583_box1_f30_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",32,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (12/3/1765)",9,del,,"(Finalmᵗᵉ alo que vd me dize en su carta, deqᵉ suspenda el juicio de lo que se diga de vd, y que tal

vez bien cerca de mi)","(Finalmᵗᵉ alo que vd me dize en su carta, deqᵉ suspenda el juicio de lo que se diga de vd, y que tal

vez bien cerca de mi)",,
